iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
186,EI,1.618214111328125,1.618214111328125,10,26,3,5,2,0.4,281,0.00043299357547224744
187,EI,2.0214398193359373,2.0214398193359373,20,16,3,3,3,0.3,401,0.0024349018102997107
188,EI,2.300821762084961,2.300821762084961,40,36,5,5,1,0.6,161,0.07699835599414312
189,EI,1.4299981689453125,1.4299981689453125,35,11,3,5,3,0.5,461,0.00018259187678368668
190,EI,4.6899269104003904,4.6899269104003904,15,31,5,3,1,0.2,221,0.005774062128812697
191,EI,2.3002449798583986,2.3002449798583986,45,41,5,3,4,0.4,341,0.032469937492479374
192,EI,1.3596778869628907,1.3596778869628907,25,21,3,5,2,0.7,101,0.001026789579595313
193,EI,1.9201464080810546,1.9201464080810546,25,45,5,5,4,0.2,232,0.004408531543599803
194,EI,1.4696720123291016,1.4696720123291016,45,25,3,3,2,0.5,472,0.00013941000814473277
195,EI,1.6821903991699219,1.6821903991699219,15,15,3,5,2,0.3,112,0.0007839600872490639
196,EI,2.305262985229492,2.305262985229492,35,35,5,3,3,0.6,352,0.024790994703713657
197,EI,1.4621039199829102,1.4621039199829102,40,10,3,3,2,0.5,292,0.0003305932276204965
198,EI,2.3040232849121094,2.3040232849121094,20,30,5,5,3,0.2,52,0.01045427578307256
199,EI,2.318694381713867,2.318694381713867,10,40,5,5,1,0.4,172,0.05878871297758392
200,EI,1.3580092239379882,1.3580092239379882,30,20,3,3,3,0.7,412,0.0018590623371906472
