iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
177,EI,1.4794058227539062,1.4794058227539062,43,28,3,3,4,0.1,512,0.00025171280880650096
178,EI,1.342120246887207,1.342120246887207,48,15,3,5,4,0.5,512,0.0010374148845189014
179,EI,1.332369613647461,1.332369613647461,48,26,5,5,4,0.5,512,0.0010680213421362078
180,EI,1.27126220703125,1.27126220703125,33,27,3,5,4,0.5,512,0.001067607462727182
181,EI,1.3321955108642578,1.3321955108642578,40,11,3,5,4,0.5,512,0.0010830729442530844
182,EI,1.374124755859375,1.374124755859375,25,30,5,5,4,0.5,512,0.0010989659528707302
183,EI,1.287164840698242,1.287164840698242,41,47,3,5,4,0.5,512,0.001093873026661585
184,EI,1.2010302734375,1.2010302734375,48,47,3,5,4,0.5,512,0.0011064824242738045
185,EI,1.3448762893676758,1.3448762893676758,48,36,3,5,4,0.5,512,0.001121764547140768
186,EI,1.2312294769287109,1.2312294769287109,48,21,3,5,4,0.5,512,0.0011422623422446625
187,EI,1.277231788635254,1.277231788635254,48,48,3,5,4,0.5,342,0.0015861457785103787
188,EI,1.4194198226928711,1.4194198226928711,48,48,3,5,4,0.2,93,0.0002923356886047991
189,EI,1.2890878677368165,1.2890878677368165,48,39,3,5,4,0.5,402,0.0012355103868662736
190,EI,1.5817139434814453,1.5817139434814453,48,8,3,5,1,0.1,32,0.0001
191,EI,1.2945442962646485,1.2945442962646485,48,48,3,5,4,0.5,441,0.001209979089589811
192,EI,1.4455512619018556,1.4455512619018556,48,48,3,3,4,0.1,137,0.00030989154768535027
193,EI,1.2869114303588867,1.2869114303588867,48,42,5,3,4,0.6,249,0.002178857044210327
194,EI,1.311551399230957,1.311551399230957,48,42,3,3,4,0.6,246,0.0021269323113963304
195,EI,1.3590679550170899,1.3590679550170899,36,48,3,3,4,0.2,322,0.0002484927800682784
196,EI,1.4047295761108398,1.4047295761108398,48,48,5,3,4,0.5,428,0.00033690101771018474
197,EI,1.4084183120727538,1.4084183120727538,47,48,3,5,4,0.2,225,0.0002422055297038771
198,EI,1.2839289855957032,1.2839289855957032,48,40,3,5,4,0.7,245,0.002110447158437532
199,EI,1.3049541473388673,1.3049541473388673,48,48,3,5,4,0.5,332,0.00023936361516918112
200,EI,1.481427459716797,1.481427459716797,48,8,3,5,1,0.6,74,0.00033984166557753467
